qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	qlen	sstart	send	slen	evalue	bitscore	qcovs	qcovhsp
KJ467261.1	CM019103.1	99.90899999999999	1101	1	0	1	1101	1101	19582530	19583630	54415314	0.0	2028	100	100
KJ467326.1	CM019103.1	97.73700000000001	1679	3	3	1	1679	1679	19570565	19572208	54415314	0.0	2857	100	100
JQ920491.1	CM019103.1	95.318	1132	18	5	1	1128	1128	19582530	19583630	54415314	0.0	1764	100	100
JQ920574.1	CM019103.1	98.889	3420	8	3	1	3392	3392	19567103	19570520	54415314	0.0	6080	100	100
JQ920575.1	CM019103.1	97.664	2226	13	9	1789	4014	7419	19581984	19584170	54415314	0.0	3786	30	30
EF990447.1	CM019108.1	100.0	2225	0	0	756	2980	3839	30228279	30230503	51265060	0.0	4109	58	58
JQ920572.1	CM019108.1	98.425	2920	25	6	1	2901	2901	30224409	30227326	51265060	0.0	5118	100	100
JQ920573.1	CM019108.1	99.604	4541	16	2	4072	8611	13521	30218214	30222753	51265060	0.0	8285	34	34
JQ920570.1	CM019106.1	99.515	824	4	0	1	824	824	11421697	11422520	65212296	0.0	1500	100	100
MH059954.1	CM019102.1	99.541	19606	62	7	59707	79297	197905	15981373	15961781	62546397	0.0	35682	10	10
